brtcCode,signguCode,brtcName,signguName
11,110,서울특별시,종로구
11,140,서울특별시,중구
11,170,서울특별시,용산구
11,200,서울특별시,성동구
11,215,서울특별시,광진구
11,230,서울특별시,동대문구
11,260,서울특별시,중랑구
11,290,서울특별시,성북구
11,305,서울특별시,강북구
11,320,서울특별시,도봉구
11,350,서울특별시,노원구
11,380,서울특별시,은평구
11,410,서울특별시,서대문구
11,440,서울특별시,마포구
11,470,서울특별시,양천구
11,500,서울특별시,강서구
11,530,서울특별시,구로구
11,545,서울특별시,금천구
11,560,서울특별시,영등포구
11,590,서울특별시,동작구
11,620,서울특별시,관악구
11,650,서울특별시,서초구
11,680,서울특별시,강남구
11,710,서울특별시,송파구
11,740,서울특별시,강동구
12,110,전남광주통합특별시,목포시
12,130,전남광주통합특별시,여수시
12,150,전남광주통합특별시,순천시
12,170,전남광주통합특별시,나주시
12,190,전남광주통합특별시,광양시
12,210,전남광주통합특별시,동구
12,240,전남광주통합특별시,서구
12,270,전남광주통합특별시,남구
12,300,전남광주통합특별시,북구
12,330,전남광주통합특별시,광산구
12,710,전남광주통합특별시,담양군
12,720,전남광주통합특별시,곡성군
12,730,전남광주통합특별시,구례군
12,740,전남광주통합특별시,고흥군
12,750,전남광주통합특별시,보성군
12,760,전남광주통합특별시,화순군
12,770,전남광주통합특별시,장흥군
12,780,전남광주통합특별시,강진군
12,790,전남광주통합특별시,해남군
12,800,전남광주통합특별시,영암군
12,810,전남광주통합특별시,무안군
12,820,전남광주통합특별시,함평군
12,830,전남광주통합특별시,영광군
12,840,전남광주통합특별시,장성군
12,850,전남광주통합특별시,완도군
12,860,전남광주통합특별시,진도군
12,870,전남광주통합특별시,신안군
26,110,부산광역시,중구
26,140,부산광역시,서구
26,170,부산광역시,동구
26,200,부산광역시,영도구
26,230,부산광역시,부산진구
26,260,부산광역시,동래구
26,290,부산광역시,남구
26,320,부산광역시,북구
26,350,부산광역시,해운대구
26,380,부산광역시,사하구
26,410,부산광역시,금정구
26,440,부산광역시,강서구
26,470,부산광역시,연제구
26,500,부산광역시,수영구
26,530,부산광역시,사상구
26,710,부산광역시,기장군
27,110,대구광역시,중구
27,140,대구광역시,동구
27,170,대구광역시,서구
27,200,대구광역시,남구
27,230,대구광역시,북구
27,260,대구광역시,수성구
27,290,대구광역시,달서구
27,710,대구광역시,달성군
27,720,대구광역시,군위군
28,125,인천광역시,제물포구
28,155,인천광역시,영종구
28,177,인천광역시,미추홀구
28,185,인천광역시,연수구
28,200,인천광역시,남동구
28,237,인천광역시,부평구
28,245,인천광역시,계양구
28,275,인천광역시,서해구
28,290,인천광역시,검단구
28,710,인천광역시,강화군
28,720,인천광역시,옹진군
30,110,대전광역시,동구
30,140,대전광역시,중구
30,170,대전광역시,서구
30,200,대전광역시,유성구
30,230,대전광역시,대덕구
31,110,울산광역시,중구
31,140,울산광역시,남구
31,170,울산광역시,동구
31,200,울산광역시,북구
31,710,울산광역시,울주군
36,110,세종특별자치시,세종특별자치시
41,111,경기도,수원시 장안구
41,113,경기도,수원시 권선구
41,115,경기도,수원시 팔달구
41,117,경기도,수원시 영통구
41,131,경기도,성남시 수정구
41,133,경기도,성남시 중원구
41,135,경기도,성남시 분당구
41,150,경기도,의정부시
41,171,경기도,안양시 만안구
41,173,경기도,안양시 동안구
41,192,경기도,부천시 원미구
